City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Duku,NG,2020-04-20 00:14:38,11.24,4.91,88.56,43,63,10.07,broken clouds,0.0,0.0
1,Jalu,LY,2020-04-20 00:14:38,29.03,21.55,71.15,24,38,8.03,scattered clouds,0.0,0.0
2,Yamada,JP,2020-04-20 00:14:06,39.47,141.95,47.59,89,100,9.35,light rain,1.17,0.0
3,Ushuaia,AR,2020-04-20 00:13:00,-54.8,-68.3,41.0,86,90,27.51,overcast clouds,0.0,0.0
4,Kavaratti,IN,2020-04-20 00:14:39,10.57,72.64,85.08,69,42,5.19,scattered clouds,0.0,0.0
5,Saskylakh,RU,2020-04-20 00:12:06,71.92,114.08,17.15,95,2,3.6,clear sky,0.0,0.0
6,Beaverton,US,2020-04-20 00:11:46,45.49,-122.8,64.99,54,1,3.36,clear sky,0.0,0.0
7,Kapaa,US,2020-04-20 00:10:35,22.08,-159.32,80.6,61,1,10.29,clear sky,0.0,0.0
8,Bredasdorp,ZA,2020-04-20 00:14:40,-34.53,20.04,54.0,87,6,4.7,clear sky,0.0,0.0
9,Rikitea,PF,2020-04-20 00:14:40,-23.12,-134.97,77.07,67,100,5.99,overcast clouds,0.0,0.0
10,Barahona,DO,2020-04-20 00:14:40,18.21,-71.1,78.87,73,3,5.01,clear sky,0.0,0.0
11,Zhigansk,RU,2020-04-20 00:14:41,66.77,123.37,17.51,93,100,8.59,overcast clouds,0.0,0.0
12,Gabu,GW,2020-04-20 00:14:41,12.28,-14.22,80.31,51,82,7.56,broken clouds,0.0,0.0
13,San Rafael,AR,2020-04-20 00:14:25,-34.62,-68.33,66.72,34,1,5.08,clear sky,0.0,0.0
14,Bar Harbor,US,2020-04-20 00:14:41,44.39,-68.2,46.0,70,1,13.87,clear sky,0.0,0.0
15,Georgetown,MY,2020-04-20 00:13:16,5.41,100.34,80.6,94,20,3.91,few clouds,0.0,0.0
16,Arlit,NE,2020-04-20 00:14:42,18.74,7.39,82.33,12,79,2.08,broken clouds,0.0,0.0
17,Busselton,AU,2020-04-20 00:14:42,-33.65,115.33,62.01,60,78,20.2,broken clouds,0.0,0.0
18,Yatou,CN,2020-04-20 00:14:42,37.15,122.38,52.29,73,56,20.96,light rain,0.12,0.0
19,Lebu,CL,2020-04-20 00:12:59,-37.62,-73.65,55.83,74,100,9.84,overcast clouds,0.0,0.0
20,Cape Town,ZA,2020-04-20 00:12:41,-33.93,18.42,63.0,82,75,20.8,broken clouds,0.0,0.0
21,Atuona,PF,2020-04-20 00:14:43,-9.8,-139.03,82.89,73,38,12.97,scattered clouds,0.0,0.0
22,Castro,BR,2020-04-20 00:13:11,-24.79,-50.01,57.07,70,34,5.88,scattered clouds,0.0,0.0
23,Puerto Ayora,EC,2020-04-20 00:14:44,-0.74,-90.35,80.01,85,86,8.99,light rain,0.11,0.0
24,Jamestown,US,2020-04-20 00:14:45,42.1,-79.24,44.6,81,75,13.87,broken clouds,0.0,0.0
25,Severo-Kurilsk,RU,2020-04-20 00:13:25,50.68,156.12,30.97,91,73,9.89,broken clouds,0.0,0.0
26,Punta Arenas,CL,2020-04-20 00:14:08,-53.15,-70.92,42.8,78,20,23.04,few clouds,0.0,0.0
27,Valdivia,CL,2020-04-20 00:13:39,-39.81,-73.25,51.8,100,94,3.36,overcast clouds,0.0,0.0
28,Yellowknife,CA,2020-04-20 00:13:05,62.46,-114.35,26.6,53,40,20.8,scattered clouds,0.0,0.0
29,Avarua,CK,2020-04-20 00:14:46,-21.21,-159.78,84.2,66,2,8.05,clear sky,0.0,0.0
30,Katsuura,JP,2020-04-20 00:14:46,35.13,140.3,51.8,93,75,6.93,shower rain,0.0,0.0
31,Namatanai,PG,2020-04-20 00:14:46,-3.67,152.43,83.53,75,78,6.06,light rain,0.32,0.0
32,Carnarvon,AU,2020-04-20 00:14:46,-24.87,113.63,71.6,83,49,11.41,scattered clouds,0.0,0.0
33,Geraldton,AU,2020-04-20 00:14:46,-28.77,114.6,59.0,82,0,12.75,clear sky,0.0,0.0
34,Marsa Matruh,EG,2020-04-20 00:14:47,31.35,27.25,53.6,76,0,1.77,clear sky,0.0,0.0
35,Tuktoyaktuk,CA,2020-04-20 00:14:47,69.45,-133.04,10.4,85,90,10.29,light snow,0.0,0.0
36,Taoudenni,ML,2020-04-20 00:14:47,22.68,-3.98,77.97,21,0,6.42,clear sky,0.0,0.0
37,Torbay,CA,2020-04-20 00:14:47,47.67,-52.73,34.0,92,90,28.86,moderate rain,0.0,0.0
38,Nikolskoye,RU,2020-04-20 00:13:19,59.7,30.79,37.4,94,67,4.47,broken clouds,0.0,0.0
39,Suez,EG,2020-04-20 00:14:48,29.97,32.53,64.6,68,0,11.59,clear sky,0.0,0.0
40,Leshukonskoye,RU,2020-04-20 00:14:48,64.9,45.76,31.05,99,98,3.89,light snow,0.0,0.57
41,San Joaquin,VE,2020-04-20 00:14:49,10.26,-67.79,76.05,69,42,5.17,light rain,0.15,0.0
42,Eyl,SO,2020-04-20 00:14:49,7.98,49.82,83.3,73,70,5.86,broken clouds,0.0,0.0
43,Aasiaat,GL,2020-04-20 00:14:49,68.71,-52.87,25.2,97,98,7.81,snow,0.0,1.53
44,Saint George,US,2020-04-20 00:11:56,37.1,-113.58,71.6,26,20,11.41,few clouds,0.0,0.0
45,Marzuq,YE,2020-04-20 00:14:50,14.4,46.47,72.27,47,100,2.91,light rain,1.14,0.0
46,Ribeira Grande,PT,2020-04-20 00:14:50,38.52,-28.7,56.68,63,7,12.53,clear sky,0.0,0.0
47,Hobart,AU,2020-04-20 00:14:24,-42.88,147.33,57.0,76,75,6.93,light intensity shower rain,0.0,0.0
48,Bad Sachsa,DE,2020-04-20 00:14:51,51.59,10.56,43.0,48,0,9.89,clear sky,0.0,0.0
49,Lerwick,GB,2020-04-20 00:14:52,60.15,-1.15,44.6,81,0,8.05,clear sky,0.0,0.0
50,Saint-Georges,GD,2020-04-20 00:14:52,12.06,-61.75,80.6,78,20,14.99,few clouds,0.0,0.0
51,Tura,IN,2020-04-20 00:14:52,25.52,90.22,68.61,85,26,1.66,light rain,0.29,0.0
52,Barrow,US,2020-04-20 00:14:52,71.29,-156.79,14.0,78,90,5.82,light snow,0.0,0.0
53,Mataura,NZ,2020-04-20 00:14:53,-46.19,168.86,55.99,65,72,5.01,broken clouds,0.0,0.0
54,Saldanha,ZA,2020-04-20 00:14:10,-33.01,17.94,59.0,82,31,11.41,scattered clouds,0.0,0.0
55,Albany,US,2020-04-20 00:14:53,42.6,-73.97,57.99,51,90,1.01,light rain,0.22,0.0
56,Bluff,NZ,2020-04-20 00:14:54,-46.6,168.33,55.99,65,78,5.01,light rain,0.2,0.0
57,Acapulco,MX,2020-04-20 00:14:54,16.86,-99.89,84.2,74,5,6.93,clear sky,0.0,0.0
58,Constitucion,CL,2020-04-20 00:14:54,-35.33,-72.42,57.25,68,74,12.71,broken clouds,0.0,0.0
59,Waddan,LY,2020-04-20 00:14:54,29.16,16.14,76.71,16,100,17.25,overcast clouds,0.0,0.0
60,Kuminskiy,RU,2020-04-20 00:14:55,58.67,66.57,35.04,84,0,5.01,clear sky,0.0,0.0
61,Fukue,JP,2020-04-20 00:14:55,32.69,128.84,57.2,82,75,10.29,broken clouds,0.0,0.0
62,Lixourion,GR,2020-04-20 00:10:38,38.2,20.43,55.99,65,74,2.15,broken clouds,0.0,0.0
63,Arraial Do Cabo,BR,2020-04-20 00:14:55,-22.97,-42.03,73.67,70,96,4.79,overcast clouds,0.0,0.0
64,Banepa,NP,2020-04-20 00:14:56,27.63,85.52,55.4,87,20,3.36,few clouds,0.0,0.0
65,At-Bashi,KG,2020-04-20 00:14:56,41.17,75.81,41.72,26,50,4.5,scattered clouds,0.0,0.0
66,Gat,IL,2020-04-20 00:10:28,31.61,34.76,62.01,16,1,5.48,clear sky,0.0,0.0
67,Narsaq,GL,2020-04-20 00:14:56,60.92,-46.05,28.4,42,0,8.05,clear sky,0.0,0.0
68,Komsomolskiy,UZ,2020-04-20 00:14:57,40.43,71.72,55.4,54,0,6.93,clear sky,0.0,0.0
69,Poum,NC,2020-04-20 00:14:57,-20.23,164.02,81.18,75,99,7.11,moderate rain,3.79,0.0
70,Port Alfred,ZA,2020-04-20 00:14:57,-33.59,26.89,68.0,86,14,7.36,few clouds,0.0,0.0
71,Mahebourg,MU,2020-04-20 00:13:32,-20.41,57.7,75.2,88,40,11.41,scattered clouds,0.0,0.0
72,Yarmouth,US,2020-04-20 00:14:58,41.71,-70.23,48.2,66,1,27.51,clear sky,0.0,0.0
73,Akyab,MM,2020-04-20 00:14:58,20.15,92.9,76.57,89,19,4.03,few clouds,0.0,0.0
