City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Zhezkazgan,KZ,2020-04-15 22:48:00,47.8,67.71,42.21,51,0,4.45
1,Lakatoro,VU,2020-04-15 22:48:00,-16.1,167.42,78.8,88,90,3.36
2,Hithadhoo,MV,2020-04-15 22:47:41,-0.6,73.08,84.18,73,88,9.86
3,Altay,CN,2020-04-15 22:48:01,47.87,88.12,43.45,39,86,7.56
4,Kaitangata,NZ,2020-04-15 22:48:01,-46.28,169.85,55.0,61,44,11.01
5,Bluff,NZ,2020-04-15 22:47:56,-46.6,168.33,51.01,73,70,15.99
6,Albany,US,2020-04-15 22:45:30,42.6,-73.97,46.99,31,40,9.17
7,Kavieng,PG,2020-04-15 22:48:02,-2.57,150.8,82.99,69,100,3.53
8,Dunedin,NZ,2020-04-15 22:46:02,-45.87,170.5,55.0,63,32,11.01
9,Jamestown,US,2020-04-15 22:46:35,42.1,-79.24,41.0,92,90,9.17
10,Rikitea,PF,2020-04-15 22:48:02,-23.12,-134.97,77.25,72,100,7.65
11,Port Moresby,PG,2020-04-15 22:48:03,-9.44,147.18,82.4,83,5,3.36
12,Ushuaia,AR,2020-04-15 22:45:36,-54.8,-68.3,51.8,66,59,2.19
13,Khatanga,RU,2020-04-15 22:47:50,71.97,102.5,-4.72,90,0,7.2
14,Butaritari,KI,2020-04-15 22:48:03,3.07,172.79,83.34,79,93,17.83
15,Bredasdorp,ZA,2020-04-15 22:48:03,-34.53,20.04,57.2,87,63,2.24
16,Neiafu,TO,2020-04-15 22:48:04,-18.65,-173.98,80.6,88,75,8.05
17,Gat,IL,2020-04-15 22:48:04,31.61,34.76,64.0,77,21,2.24
18,Beidao,CN,2020-04-15 22:48:04,34.57,105.89,60.37,30,41,3.98
19,Kruisfontein,ZA,2020-04-15 22:48:04,-34.0,24.73,57.83,80,96,6.04
20,Busselton,AU,2020-04-15 22:47:48,-33.65,115.33,55.99,66,79,7.27
21,Thompson,CA,2020-04-15 22:47:04,55.74,-97.86,26.6,42,40,10.29
22,Iqaluit,CA,2020-04-15 22:48:05,63.75,-68.51,24.8,62,90,23.04
23,Puerto Ayora,EC,2020-04-15 22:48:05,-0.74,-90.35,86.0,66,40,16.11
24,Talaya,RU,2020-04-15 22:48:05,61.38,152.75,15.22,80,0,2.37
25,Mataura,NZ,2020-04-15 22:48:05,-46.19,168.86,51.01,73,50,15.99
26,Warrington,GB,2020-04-15 22:48:06,53.39,-2.58,51.01,70,20,4.7
27,East London,ZA,2020-04-15 22:48:06,-33.02,27.91,63.73,76,20,10.67
28,New Norfolk,AU,2020-04-15 22:48:06,-42.78,147.06,60.8,72,40,11.41
29,Ancud,CL,2020-04-15 22:45:11,-41.87,-73.82,51.8,100,90,17.22
30,Vaini,TO,2020-04-15 22:48:06,-21.2,-175.2,80.6,74,75,8.05
31,Punta Arenas,CL,2020-04-15 22:48:07,-53.15,-70.92,50.0,87,95,6.93
32,Tura,IN,2020-04-15 22:48:07,25.52,90.22,65.61,85,77,3.22
33,Broome,US,2020-04-15 22:48:07,42.25,-75.83,44.01,35,75,9.17
34,Barrow,US,2020-04-15 22:48:07,71.29,-156.79,21.2,85,90,17.22
35,Komnina,GR,2020-04-15 22:48:08,40.6,21.78,46.0,64,2,6.93
36,Hermanus,ZA,2020-04-15 22:48:08,-34.42,19.23,60.01,75,30,1.99
37,Grong,NO,2020-04-15 22:48:08,64.47,12.31,32.58,93,98,5.21
38,Airai,TL,2020-04-15 22:48:08,-8.93,125.41,62.73,76,100,1.86
39,Ajdabiya,LY,2020-04-15 22:48:08,30.76,20.23,68.88,50,97,14.65
40,Port Elizabeth,ZA,2020-04-15 22:48:08,-33.92,25.57,55.4,93,82,2.24
41,Muros,ES,2020-04-15 22:48:09,42.78,-9.06,57.0,93,75,6.93
42,Kahului,US,2020-04-15 22:48:09,20.89,-156.47,77.0,69,40,14.99
43,Tuktoyaktuk,CA,2020-04-15 22:47:33,69.45,-133.04,30.2,80,75,2.24
44,Camacha,PT,2020-04-15 22:48:09,33.08,-16.33,62.6,77,20,17.22
45,Marystown,CA,2020-04-15 22:48:09,47.17,-55.15,34.3,96,100,12.08
46,Sao Pedro Do Sul,BR,2020-04-15 22:48:10,-29.62,-54.18,53.04,52,0,4.56
47,Akom,CM,2020-04-15 22:48:10,2.67,12.71,70.09,81,95,2.77
48,Plettenberg Bay,ZA,2020-04-15 22:48:10,-34.05,23.37,61.0,61,87,5.5
49,Goderich,CA,2020-04-15 22:45:15,43.75,-81.72,35.01,58,20,15.99
50,Pacific Grove,US,2020-04-15 22:48:11,36.62,-121.92,84.0,60,1,6.93
51,Lavrentiya,RU,2020-04-15 22:48:11,65.58,-171.0,29.86,94,37,5.06
52,Atuona,PF,2020-04-15 22:47:50,-9.8,-139.03,82.49,75,54,11.59
53,Gizo,SB,2020-04-15 22:48:12,-8.1,156.84,87.19,65,95,0.87
54,Saldanha,ZA,2020-04-15 22:48:12,-33.01,17.94,59.0,87,25,6.93
55,Lloydminster,CA,2020-04-15 22:48:12,53.28,-110.0,32.0,79,75,13.87
56,Hobart,AU,2020-04-15 22:45:50,-42.88,147.33,60.8,72,40,11.41
57,Lebu,CL,2020-04-15 22:48:12,-37.62,-73.65,55.44,81,98,7.49
58,Dashitou,CN,2020-04-15 22:48:13,43.31,128.51,45.82,42,87,4.32
59,Piney Green,US,2020-04-15 22:48:13,34.72,-77.32,55.0,57,90,8.05
60,Yellowknife,CA,2020-04-15 22:48:03,62.46,-114.35,30.0,63,20,2.24
61,Saint George,US,2020-04-15 22:48:13,37.1,-113.58,71.01,14,1,14.99
62,Cape Town,ZA,2020-04-15 22:48:10,-33.93,18.42,60.01,82,20,3.36
63,Nhamunda,BR,2020-04-15 22:48:14,-2.19,-56.71,73.44,94,100,1.68
64,Faya,SA,2020-04-15 22:48:14,18.39,42.45,60.8,87,20,5.82
65,Avarua,CK,2020-04-15 22:48:14,-21.21,-159.78,80.6,65,85,10.29
66,Olafsvik,IS,2020-04-15 22:48:14,64.89,-23.71,35.6,81,58,8.68
67,Cayenne,GF,2020-04-15 22:48:14,4.93,-52.33,80.6,74,0,3.36
68,Sao Joao Da Barra,BR,2020-04-15 22:48:15,-21.64,-41.05,76.96,89,98,5.75
69,Namibe,AO,2020-04-15 22:48:13,-15.2,12.15,75.25,68,37,5.84
70,Saint-Philippe,RE,2020-04-15 22:47:33,-21.36,55.77,75.2,73,40,6.93
71,Souillac,MU,2020-04-15 22:47:35,-20.52,57.52,77.0,83,40,12.75
72,Dhidhdhoo,MV,2020-04-15 22:48:16,6.88,73.1,85.21,66,90,5.84
73,Adrar,MR,2020-04-15 22:48:16,20.5,-10.07,81.54,35,9,11.07
74,Ribeira Grande,PT,2020-04-15 22:48:16,38.52,-28.7,55.74,70,53,21.07
75,Russell,US,2020-04-15 22:45:20,32.35,-85.2,66.99,25,1,11.41
76,Forest Lake,US,2020-04-15 22:46:17,45.28,-92.99,36.0,65,75,9.17
77,Brae,GB,2020-04-15 22:48:17,60.4,-1.35,44.6,75,78,16.11
78,Pevek,RU,2020-04-15 22:47:35,69.7,170.31,10.85,93,100,2.39
79,Karratha,AU,2020-04-15 22:48:17,-20.74,116.85,84.06,59,79,8.88
80,San Juan,AR,2020-04-15 22:48:17,-31.54,-68.54,72.5,26,97,5.86
81,Port Lincoln,AU,2020-04-15 22:48:17,-34.73,135.87,63.57,66,21,16.71
82,Ugoofaaru,MV,2020-04-15 22:48:18,5.67,73.0,85.28,68,90,7.4
83,Taltal,CL,2020-04-15 22:48:18,-25.4,-70.48,62.56,74,100,2.53
84,Skjervoy,NO,2020-04-15 22:48:18,70.03,20.97,34.57,85,100,8.95
85,Jining,CN,2020-04-15 22:48:18,35.41,116.58,61.21,79,96,11.97
86,Torbay,CA,2020-04-15 22:48:18,47.67,-52.73,37.99,100,90,13.87
87,Yining,CN,2020-04-15 22:48:19,29.04,114.56,67.87,60,0,3.06
88,Santa Catarina De Tepehuanes,MX,2020-04-15 22:48:19,25.35,-105.73,74.25,8,71,16.28
89,Robertsport,LR,2020-04-15 22:48:19,6.75,-11.37,81.07,83,96,4.99
90,Jumla,NP,2020-04-15 22:48:19,29.27,82.18,46.58,28,21,1.99
91,Deputatskiy,RU,2020-04-15 22:48:19,69.3,139.9,-3.35,85,100,8.61
92,Pisco,PE,2020-04-15 22:48:20,-13.7,-76.22,72.0,30,0,17.22
93,Komsomolskiy,UZ,2020-04-15 22:48:20,40.43,71.72,49.06,51,43,3.69
94,Saint-Augustin,CA,2020-04-15 22:48:20,51.23,-58.65,28.58,92,13,9.69
95,Bethel,US,2020-04-15 22:48:12,41.37,-73.41,52.0,24,1,10.29
96,San Policarpo,PH,2020-04-15 22:48:21,12.18,125.51,83.23,73,74,7.31
97,Yanam,IN,2020-04-15 22:48:21,16.73,82.22,79.0,83,8,5.28
98,Chicama,PE,2020-04-15 22:48:21,-7.84,-79.15,76.73,62,7,7.29
99,Jacareacanga,BR,2020-04-15 22:48:21,-6.22,-57.75,71.42,95,100,2.01
100,Vardo,NO,2020-04-15 22:48:22,70.37,31.11,35.6,69,40,6.93
101,Jadu,LY,2020-04-15 22:48:22,31.95,12.03,70.36,38,100,4.41
102,Tiksi,RU,2020-04-15 22:47:55,71.69,128.87,-3.53,91,100,9.84
103,Luena,AO,2020-04-15 22:48:23,-11.78,19.92,63.34,64,95,4.07
